*,$muscle_per,$match_per,circ_rad,circ_wid,port_gap,turn_z,muscle_dim,match_dim,match_wid,surface_dim
1,20,1,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
2,20,7,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
3,20,14,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
4,30,1,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
5,30,8,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
6,30,16,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
7,30,23,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
8,40,1,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
9,40,9,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
10,40,17,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
11,40,24,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
12,40,32,0.7cm,0.1cm,0.1cm,0deg,4cm,5cm,0.5cm,1cm
