161.8636 185.7992
205.6503 111.4364
177.2683 134.8142
167.165 189.2571
207.336 183.1754
207.2496 165.4412
115.2873 164.2997
137.5983 131.8487
119.7101 172.6905
169.7213 147.03
167.2118 134.1375
110.4245 153.9033
184.9849 140.7703
128.7046 187.5932
144.2853 141.3492
163.7369 112.2135
111.4115 167.1658
190.3132 115.8546
142.8806 147.1459
133.6708 139.506
178.6599 185.8293
165.9002 131.3995
146.8089 188.3553
186.8716 188.8557
209.6548 162.1439
180.2218 163.0893
166.4246 114.7473
158.2724 164.9288
124.8571 171.9243
146.8864 157.8462
201.69 196.3662
175.355 205.4267
116.4949 165.9151
157.6515 132.9491
127.0625 124.685
159.5281 135.7721
129.1307 124.8771
158.0022 152.8294
134.1986 171.2191
155.3529 121.5592
149.4171 138.4204
209.1129 186.9494
119.2854 135.6252
169.9299 130.3261
135.6731 173.1414
181.9446 205.0893
169.3983 207.3623
128.6483 189.1115
117.9301 122.9644
206.3417 199.9823
443.5195 904.297
898.4686 541.5002
607.2218 378.1042
601.7628 785.1242
986.9728 672.2737
1047.356 781.3842
237.9405 489.16
406.8529 493.1846
364.3795 838.2104
860.015 611.1723
670.8878 475.8099
322.1308 466.3581
748.6258 404.5878
247.4353 899.7088
428.3294 562.4073
778.2411 469.7652
166.2372 950.5293
715.3719 229.6896
696.8448 500.7666
245.1039 428.8737
864.3438 1046.262
629.7174 417.4498
538.714 853.3479
964.4548 956.6506
809.3512 611.9899
806.8152 558.7619
507.9287 346.5855
605.2312 731.8672
292.6526 625.165
636.8123 501.5381
1056.786 835.6881
601.0461 1100.255
471.3252 698.1038
719.6442 423.8451
263.736 311.9014
500.0333 450.3488
262.4264 310.7185
556.0939 525.7975
421.4241 658.0518
508.4957 273.6815
406.2575 444.4323
925.68 785.8485
244.0106 293.1141
543.8653 312.7229
488.5709 724.6538
697.4601 937.5636
705.8591 887.2716
402.6794 998.0145
235.0952 553.2053
1031.028 861.4938
