"","x"
"1",7.30925636012506
"2",10.5545475539402
"3",14.7635359936265
"4",6.60887297726114
"5",9.75924473034703
"6",10.3972608531433
"7",12.1238641878152
"8",9.28090592748448
"9",15.9534218099588
"10",9.58363896364101
"11",11.2529522523777
"12",12.945258332391
"13",8.82191393348856
"14",6.88099306915326
"15",15.3466868809257
"16",3.0667927461845
"17",12.6358137427638
"18",10.1074201540457
"19",13.0384860763812
"20",11.2967954636188
"21",16.2724576157474
"22",6.40022254106839
"23",14.7689146008702
"24",15.8639549266698
"25",10.0148133304844
"26",2.64488083646162
"27",11.4317119078409
"28",8.21032549410579
"29",12.3766098108989
"30",10.868910130532
"31",12.2168158112864
"32",10.9568812032929
"33",13.228493061436
"34",9.14752683853526
"35",7.66997417806073
"36",8.21301850392467
"37",4.8220606625619
"38",7.29224656070894
"39",8.3228142552986
"40",9.26046229799945
"41",8.84924131470567
"42",4.12269047449861
"43",7.47488481959317
"44",15.7106424020429
"45",11.8674817903622
"46",15.9727613067409
"47",9.08354882547564
"48",9.72746729439772
"49",9.44751564534622
"50",6.40369670407776
"51",7.48513855719387
"52",16.1989040671937
"53",8.31325883997252
"54",13.8271465355528
"55",6.85728211901506
"56",4.10236527565803
"57",9.03108671872008
"58",12.8075875804259
"59",13.4176894082022
"60",15.014856301978
"61",4.63527337970544
"62",16.0937275562657
"63",7.89056700101834
"64",10.4744942876804
"65",11.5187043924422
"66",7.54001468315141
"67",4.00345901510763
"68",8.56212222564508
"69",10.2525397129667
"70",7.31354016801007
"71",7.23617300347679
"72",10.9913485103959
"73",9.57501757319176
"74",11.3045432845081
"75",9.83883212194845
"76",7.27866887321953
"77",13.9105366972668
"78",12.3153693266196
"79",13.1575767859229
"80",5.76988497800887
"81",12.9879537693333
"82",4.91270528986293
"83",8.39988357235841
"84",5.88319164657076
"85",3.37624066358607
"86",15.4663675562607
"87",8.03981976754366
"88",9.1459563419348
"89",8.83915118906521
"90",11.1600849239382
"91",14.8011725546186
"92",15.0434648673004
"93",6.44918083531823
"94",5.9246282393104
"95",5.46198761583699
"96",6.24068530189241
"97",15.8780712314368
"98",10.0229376163983
"99",7.4721544072311
"100",8.19651968454295
